epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,38.6235,0.97331,1.23014,1.07835,0.79777,1,0.945,0.64982,1.10471,1.48352,1.3588,0.00033665,0.00033665,0.00033665
68,39.2195,0.89667,1.22122,1.11357,0.79777,1,0.945,0.64982,1.10471,1.48352,1.3588,0.000334175,0.000334175,0.000334175
69,39.752,0.95588,1.21043,1.12991,0.79777,1,0.945,0.64982,1.10471,1.48352,1.3588,0.0003317,0.0003317,0.0003317
70,40.2821,0.77179,0.97334,1.00188,0.79777,1,0.945,0.64982,1.10471,1.48352,1.3588,0.000329225,0.000329225,0.000329225
71,40.8185,0.80039,1.09219,1.01455,0.79109,1,0.945,0.6493,1.09941,1.31862,1.33311,0.00032675,0.00032675,0.00032675
72,41.357,0.8837,1.10569,1.00862,0.79109,1,0.945,0.6493,1.09941,1.31862,1.33311,0.000324275,0.000324275,0.000324275
73,41.8875,0.97116,1.26335,1.03647,0.79109,1,0.945,0.6493,1.09941,1.31862,1.33311,0.0003218,0.0003218,0.0003218
74,42.4156,0.78835,1.07752,0.96165,0.79109,1,0.945,0.6493,1.09941,1.31862,1.33311,0.000319325,0.000319325,0.000319325
75,42.9383,0.7406,1.00419,0.95406,0.79109,1,0.945,0.6493,1.09941,1.31862,1.33311,0.00031685,0.00031685,0.00031685
76,43.532,0.81841,1.10543,0.95111,0.79031,1,0.945,0.6493,1.13515,1.34384,1.3828,0.000314375,0.000314375,0.000314375
77,44.052,0.79835,1.04985,0.99754,0.79031,1,0.945,0.6493,1.13515,1.34384,1.3828,0.0003119,0.0003119,0.0003119
78,44.5773,0.78866,1.01178,0.98326,0.79031,1,0.945,0.6493,1.13515,1.34384,1.3828,0.000309425,0.000309425,0.000309425
79,45.1004,0.77503,1.01967,0.97962,0.79031,1,0.945,0.6493,1.13515,1.34384,1.3828,0.00030695,0.00030695,0.00030695
80,45.6255,0.87423,1.07645,1.07038,0.79823,0.99117,0.945,0.6493,1.13827,1.39203,1.38793,0.000304475,0.000304475,0.000304475
81,46.1585,0.63518,0.92596,0.93397,0.79823,0.99117,0.945,0.6493,1.13827,1.39203,1.38793,0.000302,0.000302,0.000302
82,46.6911,0.75458,1.06303,1.01628,0.79823,0.99117,0.945,0.6493,1.13827,1.39203,1.38793,0.000299525,0.000299525,0.000299525
83,47.2183,0.9608,1.23828,1.08654,0.79823,0.99117,0.945,0.6493,1.13827,1.39203,1.38793,0.00029705,0.00029705,0.00029705
84,47.7552,0.73733,0.96341,1.03193,0.79823,0.99117,0.945,0.6493,1.13827,1.39203,1.38793,0.000294575,0.000294575,0.000294575
85,48.3811,0.71693,0.89604,0.96623,1,0.73536,0.91167,0.64326,1.17969,1.34792,1.39174,0.0002921,0.0002921,0.0002921
86,48.9454,0.83704,1.01574,1.00987,1,0.73536,0.91167,0.64326,1.17969,1.34792,1.39174,0.000289625,0.000289625,0.000289625
87,49.4882,0.67463,1.01958,0.89715,1,0.73536,0.91167,0.64326,1.17969,1.34792,1.39174,0.00028715,0.00028715,0.00028715
88,50.0515,0.73316,0.9571,0.94787,1,0.73536,0.91167,0.64326,1.17969,1.34792,1.39174,0.000284675,0.000284675,0.000284675
89,50.628,0.65632,0.79227,0.91744,1,0.74584,0.91167,0.64661,1.14686,1.33132,1.35055,0.0002822,0.0002822,0.0002822
90,51.1978,0.83209,0.88384,1.11209,1,0.74584,0.91167,0.64661,1.14686,1.33132,1.35055,0.000279725,0.000279725,0.000279725
91,51.7695,0.71985,0.93833,1.01043,1,0.74584,0.91167,0.64661,1.14686,1.33132,1.35055,0.00027725,0.00027725,0.00027725
92,52.3289,0.8766,0.96399,1.04149,1,0.74584,0.91167,0.64661,1.14686,1.33132,1.35055,0.000274775,0.000274775,0.000274775
93,52.8988,0.85117,1.01914,1.00357,1,0.74584,0.91167,0.64661,1.14686,1.33132,1.35055,0.0002723,0.0002723,0.0002723
94,53.566,0.78762,0.97061,1.00342,0.98345,0.75,0.91167,0.64619,1.12733,1.29634,1.33206,0.000269825,0.000269825,0.000269825
95,54.1431,0.76637,1.00833,1.03774,0.98345,0.75,0.91167,0.64619,1.12733,1.29634,1.33206,0.00026735,0.00026735,0.00026735
96,54.677,0.73851,0.90536,0.97485,0.98345,0.75,0.91167,0.64619,1.12733,1.29634,1.33206,0.000264875,0.000264875,0.000264875
97,55.2186,0.83983,0.9216,1.02845,0.98345,0.75,0.91167,0.64619,1.12733,1.29634,1.33206,0.0002624,0.0002624,0.0002624
98,55.7686,0.73031,0.86298,0.94856,0.98345,0.75,0.91167,0.64619,1.12733,1.29634,1.33206,0.000259925,0.000259925,0.000259925
99,56.3153,0.74766,0.84014,0.99424,0.98046,0.75,0.91167,0.58814,1.13071,1.20566,1.33101,0.00025745,0.00025745,0.00025745
100,56.8497,0.8497,0.95558,1.06363,0.98046,0.75,0.91167,0.58814,1.13071,1.20566,1.33101,0.000254975,0.000254975,0.000254975
101,57.3866,0.74452,1.07587,0.991,0.98046,0.75,0.91167,0.58814,1.13071,1.20566,1.33101,0.0002525,0.0002525,0.0002525
102,57.9872,0.7382,0.83628,0.90023,0.98046,0.75,0.91167,0.58814,1.13071,1.20566,1.33101,0.000250025,0.000250025,0.000250025
103,58.5294,0.68527,0.90209,0.9532,0.79968,0.99838,0.945,0.61865,1.17097,1.20879,1.33491,0.00024755,0.00024755,0.00024755
104,59.054,0.72756,0.85638,1.03735,0.79968,0.99838,0.945,0.61865,1.17097,1.20879,1.33491,0.000245075,0.000245075,0.000245075
105,59.5995,0.6605,0.81158,0.95213,0.79968,0.99838,0.945,0.61865,1.17097,1.20879,1.33491,0.0002426,0.0002426,0.0002426
106,60.1406,0.8481,1.10276,1.07803,0.79968,0.99838,0.945,0.61865,1.17097,1.20879,1.33491,0.000240125,0.000240125,0.000240125
107,60.6737,0.75999,0.84866,1.00196,0.79968,0.99838,0.945,0.61865,1.17097,1.20879,1.33491,0.00023765,0.00023765,0.00023765
108,61.2177,0.75814,0.94946,1.01762,0.79531,1,0.945,0.5939,1.18806,1.18479,1.30813,0.000235175,0.000235175,0.000235175
109,61.7602,0.71222,0.84799,1.09781,0.79531,1,0.945,0.5939,1.18806,1.18479,1.30813,0.0002327,0.0002327,0.0002327
110,62.2974,0.7908,0.86708,0.98965,0.79531,1,0.945,0.5939,1.18806,1.18479,1.30813,0.000230225,0.000230225,0.000230225
111,62.9054,0.71105,0.84555,0.97121,0.79531,1,0.945,0.5939,1.18806,1.18479,1.30813,0.00022775,0.00022775,0.00022775
112,63.4506,0.65106,0.88387,0.95881,0.79437,1,0.945,0.59382,1.23051,1.09419,1.28996,0.000225275,0.000225275,0.000225275
113,63.9845,0.69411,0.86744,0.92257,0.79437,1,0.945,0.59382,1.23051,1.09419,1.28996,0.0002228,0.0002228,0.0002228
114,64.5365,0.66338,0.7972,0.93468,0.79437,1,0.945,0.59382,1.23051,1.09419,1.28996,0.000220325,0.000220325,0.000220325
115,65.069,0.70818,0.8605,0.9277,0.79437,1,0.945,0.59382,1.23051,1.09419,1.28996,0.00021785,0.00021785,0.00021785
116,65.6041,0.68282,0.89616,0.93558,0.79437,1,0.945,0.59382,1.23051,1.09419,1.28996,0.000215375,0.000215375,0.000215375
117,66.1438,0.75949,0.94382,0.93043,0.79527,1,0.945,0.59387,1.21079,1.13822,1.22685,0.0002129,0.0002129,0.0002129
